plan_id,order_sequence,ts_code,lot_id,allocated_quantity,estimated_execution_price,estimated_fee,realized_pnl_cny,eligibility_status
方案A,1,300750.SZ,P01,3000,367.0594,781.8365,170396.3522,eligible
方案A,1,300750.SZ,_ORDER_TOTAL_,3000,367.0594,781.8365,170396.3522,eligible
方案A,2,000333.SZ,P08,50000,78.0975,2772.4625,552104.3530,eligible
方案A,2,000333.SZ,_ORDER_TOTAL_,50000,78.0975,2772.4625,552104.3530,eligible
方案A,3,601318.SH,P09,10000,68.3626,485.3745,163140.7323,eligible
方案A,3,601318.SH,_ORDER_TOTAL_,10000,68.3626,485.3745,163140.7323,eligible
方案B,1,300750.SZ,P01,5000,367.0545,1303.0433,283969.2415,eligible
方案B,1,300750.SZ,_ORDER_TOTAL_,5000,367.0545,1303.0433,283969.2415,eligible
方案B,2,002594.SZ,P03,20000,97.6610,1386.7868,-248165.8874,eligible
方案B,2,002594.SZ,_ORDER_TOTAL_,20000,97.6610,1386.7868,-248165.8874,eligible
方案B,3,000858.SZ,P07,10000,105.8769,751.7262,-221982.4155,eligible
方案B,3,000858.SZ,_ORDER_TOTAL_,10000,105.8769,751.7262,-221982.4155,eligible
方案B,4,000333.SZ,P08,5000,78.1067,277.2788,55256.1769,eligible
方案B,4,000333.SZ,_ORDER_TOTAL_,5000,78.1067,277.2788,55256.1769,eligible
方案C,1,300750.SZ,P01,15000,367.0384,3908.9591,851667.2736,eligible
方案C,1,300750.SZ,_ORDER_TOTAL_,15000,367.0384,3908.9591,851667.2736,eligible
方案C,2,600519.SH,P05,1000,1376.3879,977.2354,-124589.3490,conditional
方案C,2,600519.SH,_ORDER_TOTAL_,1000,1376.3879,977.2354,-124589.3490,conditional
方案C,3,002594.SZ,P03,30000,97.6588,2080.1319,-372316.8469,next_session
方案C,3,002594.SZ,_ORDER_TOTAL_,30000,97.6588,2080.1319,-372316.8469,next_session
