scenario,time,opening_withdrawable_CNY,known_settled_inflow_CNY,planned_sale_executed_net_but_unsettled_CNY,planned_sale_settled_inflow_CNY,closing_withdrawable_CNY,target_260000_gap_CNY,status,notes,source_ids
无新增成交,2026-08-28 15:20,58000.00,0.00,0.00,0.00,58000.00,202000.00,未达标,旧证券18000为未结算毛额，不计入可划转,BRK-ACC-02|BRK-ACC-04
无新增成交,2026-08-31 09:00,58000.00,17985.82,0.00,0.00,75985.82,184014.18,未达标,旧证券卖出净额结算,BRK-TRD-08|CAL-SRC-02
无新增成交,2026-08-31 15:00,75985.82,0.00,0.00,0.00,75985.82,184014.18,未达标,无计划卖出；委托未成交则executed=0,CAL-SRC-04
无新增成交,2026-09-01 09:00,75985.82,0.00,0.00,0.00,75985.82,184014.18,未达标,仅8/31实际成交净额转为可划转,CAL-SRC-04
无新增成交,2026-09-01 15:00,75985.82,0.00,0.00,0.00,75985.82,184014.18,未达标,9/1最终交易检查；当日成交尚不可划转,CAL-SRC-05
无新增成交,2026-09-02 09:00,75985.82,0.00,0.00,0.00,75985.82,184014.18,未达标,9/1实际成交净额转为可划转,CAL-SRC-06
无新增成交,2026-09-02 10:00,75985.82,0.00,0.00,0.00,75985.82,184014.18,未达标,客户拟划转；本任务不执行,CLIENT-01|CAL-SRC-07
偏好优先_全硬约束可行,2026-08-28 15:20,58000.00,0.00,0.00,0.00,58000.00,202000.00,未达标,旧证券18000为未结算毛额，不计入可划转,BRK-ACC-02|BRK-ACC-04
偏好优先_全硬约束可行,2026-08-31 09:00,58000.00,17985.82,0.00,0.00,75985.82,184014.18,未达标,旧证券卖出净额结算,BRK-TRD-08|CAL-SRC-02
偏好优先_全硬约束可行,2026-08-31 15:00,75985.82,0.00,229241.65,0.00,75985.82,184014.18,未达标,8/31假设A6700与D5900实际成交；委托未成交则executed=0,CAL-SRC-04
偏好优先_全硬约束可行,2026-09-01 09:00,75985.82,0.00,0.00,229241.65,305227.47,0.00,达标,仅8/31实际成交净额转为可划转,CAL-SRC-04
偏好优先_全硬约束可行,2026-09-01 15:00,305227.47,0.00,0.00,0.00,305227.47,0.00,达标,9/1最终交易检查；当日成交尚不可划转,CAL-SRC-05
偏好优先_全硬约束可行,2026-09-02 09:00,305227.47,0.00,0.00,0.00,305227.47,0.00,达标,9/1实际成交净额转为可划转,CAL-SRC-06
偏好优先_全硬约束可行,2026-09-02 10:00,305227.47,0.00,0.00,0.00,305227.47,0.00,达标,客户拟划转；本任务不执行,CLIENT-01|CAL-SRC-07
流动性优先_D持续无买盘,2026-08-28 15:20,58000.00,0.00,0.00,0.00,58000.00,202000.00,未达标,旧证券18000为未结算毛额，不计入可划转,BRK-ACC-02|BRK-ACC-04
流动性优先_D持续无买盘,2026-08-31 09:00,58000.00,17985.82,0.00,0.00,75985.82,184014.18,未达标,旧证券卖出净额结算,BRK-TRD-08|CAL-SRC-02
流动性优先_D持续无买盘,2026-08-31 15:00,75985.82,0.00,310967.80,0.00,75985.82,184014.18,未达标,8/31假设A13900实际成交；不依赖D；委托未成交则executed=0,CAL-SRC-04
流动性优先_D持续无买盘,2026-09-01 09:00,75985.82,0.00,0.00,310967.80,386953.62,0.00,达标,仅8/31实际成交净额转为可划转,CAL-SRC-04
流动性优先_D持续无买盘,2026-09-01 15:00,386953.62,0.00,0.00,0.00,386953.62,0.00,达标,9/1最终交易检查；当日成交尚不可划转,CAL-SRC-05
流动性优先_D持续无买盘,2026-09-02 09:00,386953.62,0.00,0.00,0.00,386953.62,0.00,达标,9/1实际成交净额转为可划转,CAL-SRC-06
流动性优先_D持续无买盘,2026-09-02 10:00,386953.62,0.00,0.00,0.00,386953.62,0.00,达标,客户拟划转；本任务不执行,CLIENT-01|CAL-SRC-07
D部分成交3000_替代,2026-08-28 15:20,58000.00,0.00,0.00,0.00,58000.00,202000.00,未达标,旧证券18000为未结算毛额，不计入可划转,BRK-ACC-02|BRK-ACC-04
D部分成交3000_替代,2026-08-31 09:00,58000.00,17985.82,0.00,0.00,75985.82,184014.18,未达标,旧证券卖出净额结算,BRK-TRD-08|CAL-SRC-02
D部分成交3000_替代,2026-08-31 15:00,75985.82,0.00,230507.98,0.00,75985.82,184014.18,未达标,8/31假设A8500与D3000实际成交；委托未成交则executed=0,CAL-SRC-04
D部分成交3000_替代,2026-09-01 09:00,75985.82,0.00,0.00,230507.98,306493.80,0.00,达标,仅8/31实际成交净额转为可划转,CAL-SRC-04
D部分成交3000_替代,2026-09-01 15:00,306493.80,0.00,0.00,0.00,306493.80,0.00,达标,9/1最终交易检查；当日成交尚不可划转,CAL-SRC-05
D部分成交3000_替代,2026-09-02 09:00,306493.80,0.00,0.00,0.00,306493.80,0.00,达标,9/1实际成交净额转为可划转,CAL-SRC-06
D部分成交3000_替代,2026-09-02 10:00,306493.80,0.00,0.00,0.00,306493.80,0.00,达标,客户拟划转；本任务不执行,CLIENT-01|CAL-SRC-07
风险预算优先,2026-08-28 15:20,58000.00,0.00,0.00,0.00,58000.00,202000.00,未达标,旧证券18000为未结算毛额，不计入可划转,BRK-ACC-02|BRK-ACC-04
风险预算优先,2026-08-31 09:00,58000.00,17985.82,0.00,0.00,75985.82,184014.18,未达标,旧证券卖出净额结算,BRK-TRD-08|CAL-SRC-02
风险预算优先,2026-08-31 15:00,75985.82,0.00,344761.28,0.00,75985.82,184014.18,未达标,8/31卖A10000+D9000；9/1再卖D1000；委托未成交则executed=0,CAL-SRC-04
风险预算优先,2026-09-01 09:00,75985.82,0.00,0.00,344761.28,420747.10,0.00,达标,仅8/31实际成交净额转为可划转,CAL-SRC-04
风险预算优先,2026-09-01 15:00,420747.10,0.00,13447.64,0.00,420747.10,0.00,达标,9/1最终交易检查；当日成交尚不可划转,CAL-SRC-05
风险预算优先,2026-09-02 09:00,420747.10,0.00,0.00,13447.64,434194.74,0.00,达标,9/1实际成交净额转为可划转,CAL-SRC-06
风险预算优先,2026-09-02 10:00,434194.74,0.00,0.00,0.00,434194.74,0.00,达标,客户拟划转；本任务不执行,CLIENT-01|CAL-SRC-07
