row_type,scenario,security_id,action,planned_qty,earliest_execution,reference_price,estimated_execution_price,gross_CNY,commission_CNY,stamp_tax_CNY,transfer_fee_CNY,slippage_cost_CNY,net_cash_CNY,transferable_date,post_trade_qty,realized_pnl_CNY,plan_note,source_ids,nav_basis,post_nav_CNY,deadline_withdrawable_cash_CNY,risk_asset_weight,max_single_weight,highvol_weight,electronic_weight,portfolio_volatility,max_risk_contribution_share,stress01_loss_rate,stress02_loss_rate,all_hard_constraints_met,soft_A_12000_met
summary,当前,TOTAL,SUMMARY,0,,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,"{""A"": 18000, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 50000}",0.00000000,无计划交易,recalculation,statement,1038800.00000000,75985.82000000,0.92804197,0.38814016,0.51809781,0.51809781,0.30820633,0.58200238,0.13240422,0.11982335,NO,YES
summary,当前,TOTAL,SUMMARY,0,,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,"{""A"": 18000, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 50000}",0.00000000,无计划交易,recalculation,reconstructed,1043785.82000000,75985.82000000,0.92360902,0.38628614,0.51562302,0.51562302,0.30673413,0.58200238,0.13177177,0.11925100,NO,YES
trade,偏好优先_全硬约束可行,SYN201.SH,SELL,6700,2026-08-31 09:30,22.40000000,22.38880000,150004.96000000,37.50124000,75.00248000,1.50004960,75.04000000,149890.95623040,2026-09-01 09:00,11300,7888.49111929,最多保留A；A剩11300，低于soft偏好12000,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
trade,偏好优先_全硬约束可行,SYN204.SZ,SELL,5900,2026-08-31 09:30,13.50000000,13.45950000,79411.05000000,19.85276250,39.70552500,0.79411050,238.95000000,79350.69760200,2026-09-01 09:00,4100,-19795.07359800,最多保留A；A剩11300，低于soft偏好12000,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
summary,偏好优先_全硬约束可行,TOTAL,SUMMARY,12600,,,,229416.01000000,57.35400250,114.70800500,2.29416010,313.99000000,229241.65383240,,"{""A"": 11300, ""B"": 12500, ""C"": 8000, ""D"": 4100, ""ETF"": 50000}",-11906.58247871,最多保留A；A剩11300，低于soft偏好12000,recalculation,statement,1038311.65383240,305227.47383240,0.70722504,0.24378037,0.29708806,0.29708806,0.20155928,0.54841385,0.08727110,0.08241215,YES,NO
summary,偏好优先_全硬约束可行,TOTAL,SUMMARY,12600,,,,229416.01000000,57.35400250,114.70800500,2.29416010,313.99000000,229241.65383240,,"{""A"": 11300, ""B"": 12500, ""C"": 8000, ""D"": 4100, ""ETF"": 50000}",-11906.58247871,最多保留A；A剩11300，低于soft偏好12000,recalculation,reconstructed,1043297.47383240,305227.47383240,0.70384528,0.24261537,0.29566831,0.29566831,0.20059604,0.54841385,0.08685404,0.08201831,YES,NO
trade,偏好优先_保留A12000反例,SYN201.SH,SELL,6000,2026-08-31 09:30,22.40000000,22.38880000,134332.80000000,33.58320000,67.16640000,1.34332800,67.20000000,134230.70707200,2026-09-01 09:00,12000,7064.32040533,除风险贡献外其余hard满足；A风险贡献58.3789%>55%，不可采纳,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
trade,偏好优先_保留A12000反例,SYN204.SZ,SELL,6900,2026-08-31 09:30,13.50000000,13.45950000,92870.55000000,23.21763750,46.43527500,0.92870550,279.45000000,92799.96838200,2026-09-01 09:00,3100,-23150.17081800,除风险贡献外其余hard满足；A风险贡献58.3789%>55%，不可采纳,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
summary,偏好优先_保留A12000反例,TOTAL,SUMMARY,12900,,,,227203.35000000,56.80083750,113.60167500,2.27203350,346.65000000,227030.67545400,,"{""A"": 12000, ""B"": 12500, ""C"": 8000, ""D"": 3100, ""ETF"": 50000}",-16085.85041267,除风险贡献外其余hard满足；A风险贡献58.3789%>55%，不可采纳,recalculation,statement,1038280.67545400,303016.49545400,0.70934576,0.25888953,0.29919655,0.29919655,0.20183045,0.58378879,0.08674148,0.08002412,NO,YES
summary,偏好优先_保留A12000反例,TOTAL,SUMMARY,12900,,,,227203.35000000,56.80083750,113.60167500,2.27203350,346.65000000,227030.67545400,,"{""A"": 12000, ""B"": 12500, ""C"": 8000, ""D"": 3100, ""ETF"": 50000}",-16085.85041267,除风险贡献外其余hard满足；A风险贡献58.3789%>55%，不可采纳,recalculation,reconstructed,1043266.49545400,303016.49545400,0.70595577,0.25765229,0.29776668,0.29776668,0.20086589,0.58378879,0.08632694,0.07964168,NO,YES
trade,流动性优先_D持续无买盘,SYN201.SH,SELL,13900,2026-08-31 09:30,22.40000000,22.38880000,311204.32000000,77.80108000,155.60216000,3.11204320,155.68000000,310967.80471680,2026-09-01 09:00,4100,16365.67560569,仅卖A，避免依赖D/C成交；A剩4100,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
