metric,unit,detail_nav_anchor,statement_nav_anchor,threshold,pre_status,post_main_sell_11000,post_status,source_id
NAV(分母),CNY,801048.0,803048.0,-,残差2000未解释(DQ-001),800512.27(交易后),上下界并列,ACCT-001/AST-*
SYN100市值,CNY,517200.0,517200.0,-,-,280150.0,-,BRK-POS-001
SYN100权重,%NAV,0.645654,0.644046,≤0.3500,超限约29.5pct,0.349963,达标(余量0.000037),PAR-004
组合年化波动率,%,0.324324,0.323614,-,-,0.182811,下降14.15pct,RISK-*/CORR-*
SYN100风险贡献占比,%组合风险,0.309412,0.308761,≤0.6000,达标(余量29.06pct),0.167123,达标,PAR-006
风险贡献加总校验,%,1.0,1.0,=1.0000,通过,1.0,通过,计算契约
压力 SCN-BASE 损失,%NAV,-0.013762,-0.013728,≥-0.0800,达标,-0.007852,达标,SCN-001
压力 SCN-UP 损益,%NAV,0.047192,0.047075,-,+4.72%(收益),0.026501,收益,SCN-002
压力 SCN-DOWN 损失,%NAV,-0.097315,-0.097154,≥-0.0800,FAIL(超1.73pct),-0.05444,达标,SCN-003
压力 SCN-HALT 损失,%NAV,-0.080324,-0.080185,≥-0.0800,FAIL(超0.03pct),-0.044844,达标,SCN-004
最不利压力损失,%NAV,-0.097315,-0.097154,≥-0.0800,FAIL,-0.05444,达标,取SCN-DOWN
现金+可赎回低风险,CNY,192500.0,192500.0,≥300000(10/9),缺口107500,440362.27,达标(含应收到账),PAR-007
任一时点已结算现金,CNY,72500.0,72500.0,≥50000,达标,320362.27,达标,PAR-008
相关性矩阵校验,-,dim4对称对角1范围合法,同,必须通过,通过,-,通过,CORR-001~004
