item,nav_basis,nav_value,syn100_weight,weight_limit_35pct,weight_excess_pct,weight_excess_value,shares_to_35pct_approx,portfolio_vol,syn100_rc,syn100_rc_pct,rc_limit_60pct,rc_violation,shares_to_rc60_approx,remaining_at_rc60,stress_scenario,stress_loss_pct,stress_limit_8pct,stress_violation,day1_tradeable,post_stress_weight,corr_matrix_check,source_ids,note
WEIGHT_AND_RISK,NAV_low,801048.00,64.5654%,35.0000%,29.5654%,236833.20,11000,32.4324%,0.309412,95.4022%,60.0000%,YES,21528,2472,SCN-BASE_基准震荡,1.3762%,8.0000%,NO,YES,64.1570%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景基准震荡; 首日NORMAL
WEIGHT_AND_RISK,NAV_low,801048.00,64.5654%,35.0000%,29.5654%,236833.20,11000,32.4324%,0.309412,95.4022%,60.0000%,YES,21528,2472,SCN-UP_趋势延续,4.7193%,8.0000%,NO,YES,65.9716%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景趋势延续; 首日NORMAL
WEIGHT_AND_RISK,NAV_low,801048.00,64.5654%,35.0000%,29.5654%,236833.20,11000,32.4324%,0.309412,95.4022%,60.0000%,YES,21528,2472,SCN-DOWN_跌停后跳空,9.7315%,8.0000%,YES,NO,61.1547%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景跌停后跳空; 首日LIMIT_DOWN_NO_BID
WEIGHT_AND_RISK,NAV_low,801048.00,64.5654%,35.0000%,29.5654%,236833.20,11000,32.4324%,0.309412,95.4022%,60.0000%,YES,21528,2472,SCN-HALT_停牌后复牌,8.0325%,8.0000%,YES,NO,61.7800%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景停牌后复牌; 首日SUSPENDED_3_TRADING_DAYS
WEIGHT_AND_RISK,NAV_high,803048.00,64.4046%,35.0000%,29.4046%,236133.20,11000,32.3516%,0.308641,95.4022%,60.0000%,YES,21528,2472,SCN-BASE_基准震荡,1.3728%,8.0000%,NO,YES,63.9950%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景基准震荡; 首日NORMAL
WEIGHT_AND_RISK,NAV_high,803048.00,64.4046%,35.0000%,29.4046%,236133.20,11000,32.3516%,0.308641,95.4022%,60.0000%,YES,21528,2472,SCN-UP_趋势延续,4.7076%,8.0000%,NO,YES,65.8147%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景趋势延续; 首日NORMAL
WEIGHT_AND_RISK,NAV_high,803048.00,64.4046%,35.0000%,29.4046%,236133.20,11000,32.3516%,0.308641,95.4022%,60.0000%,YES,21528,2472,SCN-DOWN_跌停后跳空,9.7073%,8.0000%,YES,NO,60.9860%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景跌停后跳空; 首日LIMIT_DOWN_NO_BID
WEIGHT_AND_RISK,NAV_high,803048.00,64.4046%,35.0000%,29.4046%,236133.20,11000,32.3516%,0.308641,95.4022%,60.0000%,YES,21528,2472,SCN-HALT_停牌后复牌,8.0125%,8.0000%,YES,NO,61.6128%,PASS,"RISK-001,RISK-002,RISK-003,RISK-004,CORR-001,CORR-002,CORR-003,CORR-004,SCN-001,SCN-002,SCN-003,SCN-004",压力情景停牌后复牌; 首日SUSPENDED_3_TRADING_DAYS
LOW_RISK_TARGET,BOTH_NAV,"[801048.00,803048.00]",,,,,,,,,,,,,截至2026-10-09目标≥300000,当前低风险合计(现金+短债)=192500.00; 加应收11360.00+分红(持12k)1200.00=205060.00,≥300000,YES,,,PASS,"ACCT-001,AST-003,AST-004,AST-005,AST-006,EV-SRC-005,EV-SRC-009",需卖出约4500.0股补足缺口94940.00元
CASH_FLOOR,BOTH_NAV,"[801048.00,803048.00]",,,,,,,,,,,,,"任一时点已结算现金≥50,000","当前已结算现金=72,500.00","≥50,000",NO,,,PASS,"ACCT-001,AST-004","当前满足；做T买入前须确认卖出已成交且现金不低于50,000"
