指标,阈值,明细NAV口径值,券商NAV口径值,关系,约束ID
股票+ETF仓位,0.75,0.926927,0.928042,<=0.75,CON-02
单票A权重,0.27,0.387674,0.38814,<=0.27,CON-03
单票B权重,0.27,0.094467,0.09458,<=0.27,CON-03
单票C权重,0.27,0.116917,0.117058,<=0.27,CON-03
单票D权重,0.27,0.129801,0.129958,<=0.27,CON-03
单票ETF权重,0.27,0.198067,0.198306,<=0.27,CON-03
高波动A+D权重,0.3,0.517475,0.518098,<=0.30,CON-04
电子A+D权重,0.32,0.517475,0.518098,<=0.32,CON-05
现金权重,-,0.073073,0.073161,>=0.03(CON-09 3万),CON-09
年化组合波动率,-,0.307836,-,参考,RISK
A风险贡献,0.55,0.582002,-,<=0.55,CON-07
D风险贡献,0.55,0.227125,-,<=0.55,CON-07
ETF风险贡献,0.55,0.114862,-,<=0.55,CON-07
最不利压力损失(S1),0.09,-0.132245,-,<=0.09,CON-06
