plan_id,order_sequence,ts_code,lot_id,allocated_quantity,estimated_execution_price,estimated_fee,realized_pnl_cny,eligibility_status
方案A,1,300750.SZ,P01,3000,367.0594,781.84,171178.19,已分配
方案A,2,000333.SZ,P08,50000,78.0975,2772.46,554876.82,已分配
方案A,3,601318.SH,P09,10000,68.3626,485.37,163626.11,已分配
方案B,1,300750.SZ,P01,5000,367.0545,1303.04,285272.28,已分配
方案B,2,002594.SZ,P03,20000,97.661,1386.79,-246779.1,已分配
方案B,3,000858.SZ,P07,10000,105.8769,751.73,-221230.69,已分配
方案B,4,000333.SZ,P08,5000,78.1067,277.28,55533.46,已分配
方案C,1,300750.SZ,P01,15000,367.0384,3908.96,855576.23,已分配
方案C,2,600519.SH,NA,1000,NA,NA,NA,不可执行:报价陈旧(age=780s>300s)
方案C,3,002594.SZ,NA,30000,NA,NA,NA,"下一交易日,不计入当日合规"
