NAV口径,对象,指标,取值,对照/备注,判定,
未调整-明细重算NAV,组合,股票及ETF仓位,92.6927%,阈值<=75%,超限,
未调整-明细重算NAV,组合,前两大(A+ETF),58.5741%,参考,,
未调整-明细重算NAV,组合,高波动合计(A+D),51.7475%,阈值<=30%,超限,
未调整-明细重算NAV,组合,电子行业合计(A+D),51.7475%,阈值<=32%,超限,
未调整-明细重算NAV,组合,现金权重,7.3073%,,,
未调整-明细重算NAV,组合,组合年化波动率,30.7836%,,,
未调整-明细重算NAV,压力,STRESS-01,-13.2245%,损失-137541.50,"最不利,超限",
未调整-明细重算NAV,压力,STRESS-02,-11.9679%,损失-124472.50,,
未调整-明细重算NAV,压力,STRESS-03,8.9504%,损失93089.00,上行,
未调整-明细重算NAV,A,单票权重/风险贡献,38.7674%,RC 58.2002%,超限/RC超限,
未调整-明细重算NAV,B,单票权重/风险贡献,9.4467%,RC 1.5781%,,
未调整-明细重算NAV,C,单票权重/风险贡献,11.6917%,RC 6.0229%,,
未调整-明细重算NAV,D,单票权重/风险贡献,12.9801%,RC 22.7125%,,
未调整-明细重算NAV,ETF,单票权重/风险贡献,19.8067%,RC 11.4862%,,
未调整-券商账单NAV,组合,股票及ETF仓位,92.8042%,阈值<=75%,超限,
未调整-券商账单NAV,组合,前两大(A+ETF),58.6446%,参考,,
未调整-券商账单NAV,组合,高波动合计(A+D),51.8098%,阈值<=30%,超限,
未调整-券商账单NAV,组合,电子行业合计(A+D),51.8098%,阈值<=32%,超限,
未调整-券商账单NAV,组合,现金权重,7.3161%,,,
未调整-券商账单NAV,组合,组合年化波动率,30.7836%,,,
未调整-券商账单NAV,压力,STRESS-01,-13.2245%,损失-137541.50,"最不利,超限",
未调整-券商账单NAV,压力,STRESS-02,-11.9679%,损失-124472.50,,
未调整-券商账单NAV,压力,STRESS-03,8.9504%,损失93089.00,上行,
未调整-券商账单NAV,A,单票权重/风险贡献,38.8140%,RC 58.2002%,超限/RC超限,
未调整-券商账单NAV,B,单票权重/风险贡献,9.4580%,RC 1.5781%,,
未调整-券商账单NAV,C,单票权重/风险贡献,11.7058%,RC 6.0229%,,
未调整-券商账单NAV,D,单票权重/风险贡献,12.9958%,RC 22.7125%,,
未调整-券商账单NAV,ETF,单票权重/风险贡献,19.8306%,RC 11.4862%,,
