nav_basis,scenario,metric,actual_value,threshold,status,evidence
明细NAV,当前,single_weight,0.64565419,0.35000000,不通过,PAR-004
明细NAV,当前,portfolio_volatility,0.32432367,,信息项,RISK/CORR
明细NAV,当前,M_risk_contribution_share,0.95402226,0.60000000,不通过,PAR-006
明细NAV,基准震荡,portfolio_stress_loss,0.01376197,0.08000000,通过,SCN-BASE/NORMAL
明细NAV,趋势延续,portfolio_stress_loss,-0.04719318,0.08000000,通过,SCN-UP/NORMAL
明细NAV,跌停后跳空,portfolio_stress_loss,0.06826058,0.08000000,通过,SCN-DOWN/LIMIT_DOWN_NO_BID
明细NAV,停牌后复牌,portfolio_stress_loss,0.08032477,0.08000000,不通过,SCN-HALT/SUSPENDED_3_TRADING_DAYS
明细NAV,"净减仓21,600股后",single_weight,0.06465028,0.35000000,通过,风险恢复测算
明细NAV,"净减仓21,600股后",M_risk_contribution_share,0.59072737,0.60000000,通过,风险恢复测算
券商NAV,当前,single_weight,0.64404618,0.35000000,不通过,PAR-004
券商NAV,当前,portfolio_volatility,0.32351594,,信息项,RISK/CORR
券商NAV,当前,M_risk_contribution_share,0.95402226,0.60000000,不通过,PAR-006
券商NAV,基准震荡,portfolio_stress_loss,0.01372770,0.08000000,通过,SCN-BASE/NORMAL
券商NAV,趋势延续,portfolio_stress_loss,-0.04707564,0.08000000,通过,SCN-UP/NORMAL
券商NAV,跌停后跳空,portfolio_stress_loss,0.06809057,0.08000000,通过,SCN-DOWN/LIMIT_DOWN_NO_BID
券商NAV,停牌后复牌,portfolio_stress_loss,0.08012472,0.08000000,不通过,SCN-HALT/SUSPENDED_3_TRADING_DAYS
券商NAV,"净减仓21,600股后",single_weight,0.06448906,0.35000000,通过,风险恢复测算
券商NAV,"净减仓21,600股后",M_risk_contribution_share,0.59072737,0.60000000,通过,风险恢复测算
