definition_id,definition_name,components,amount_cny,scenario,price_basis,net_per_share_cny,required_shares_100lot,shares_retained,binding_check,note
PRIN-1,历史现金投入总额,历次买入成交额+已发生买入佣金过户费,288975.12,仅靠未来卖出证券M,当前正式收盘21.55,21.5013,135,23865,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-1,历史现金投入总额,历次买入成交额+已发生买入佣金过户费,288975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,当前正式收盘21.55,21.5013,45,23955,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
PRIN-1,历史现金投入总额,历次买入成交额+已发生买入佣金过户费,288975.12,仅靠未来卖出证券M,客户软偏好卖价20.80,20.753,140,23860,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-1,历史现金投入总额,历次买入成交额+已发生买入佣金过户费,288975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,客户软偏好卖价20.80,20.753,47,23953,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
PRIN-2,分红后净现金投入,历史现金投入-截至决策时点已实际收到现金分红(1000元),287975.12,仅靠未来卖出证券M,当前正式收盘21.55,21.5013,134,23866,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-2,分红后净现金投入,历史现金投入-截至决策时点已实际收到现金分红(1000元),287975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,当前正式收盘21.55,21.5013,45,23955,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
PRIN-2,分红后净现金投入,历史现金投入-截至决策时点已实际收到现金分红(1000元),287975.12,仅靠未来卖出证券M,客户软偏好卖价20.80,20.753,139,23861,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-2,分红后净现金投入,历史现金投入-截至决策时点已实际收到现金分红(1000元),287975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,客户软偏好卖价20.80,20.753,47,23953,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
PRIN-3,当前持仓重建成本,公司行动调整后仍对应24000股的成本基础,288975.12,仅靠未来卖出证券M,当前正式收盘21.55,21.5013,135,23865,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-3,当前持仓重建成本,公司行动调整后仍对应24000股的成本基础,288975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,当前正式收盘21.55,21.5013,45,23955,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
PRIN-3,当前持仓重建成本,公司行动调整后仍对应24000股的成本基础,288975.12,仅靠未来卖出证券M,客户软偏好卖价20.80,20.753,140,23860,保留12000软偏好?满足,净每股=价×(1-0.00226)=价×(1-佣金0.00025-过户0.00001-印花0.0005-滑点0.0015)
PRIN-3,当前持仓重建成本,公司行动调整后仍对应24000股的成本基础,288975.12,计入账户已有现金72500+可赎回低风险(SYNBOND)120000=192500,客户软偏好卖价20.80,20.753,47,23953,保留12000软偏好?满足,缺口=本金-192500;已结算应收8960/基金应收2400不计入
