scenario,trade_date,event_notes,action,shares,price_basis,gross_amount_cny,commission_cny,transfer_fee_cny,stamp_duty_cny,slippage_cny,total_fee_cny,net_cash_impact_cny,post_trade_M_shares,post_trade_M_weight_low_nav_pct,constraint_weight_35pct,constraint_risk_contrib_60pct,constraint_cash_floor_50k,constraint_stress_8pct,constraint_low_risk_300k_target,constraint_soft_12k_shares,invalidation_reason,notes,evidence_ids
S1_正常分批减仓,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",SELL,2000,21.55,43100.0,10.78,0.43,21.55,64.65,97.41,43002.59,22000,59.18,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,首批减仓; LOT-03 解冻,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-22,,SELL,2000,21.55,43100.0,10.78,0.43,21.55,64.65,97.41,43002.59,20000,53.8,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,继续减仓以接近权重上限,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-23,股权登记日(CASH_DIVIDEND),SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,18500,49.77,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,登记日前适度减仓,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-24,除息日(-0.10 CNY/股),SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,17000,45.73,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,除息后价格触发线调整-0.10,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-25,"2,400 CNY 应收可划转",SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,15500,41.7,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-28,,SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,14000,37.66,VIOLATED,LIKELY_OK,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-29,,SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,12500,33.63,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),SELL,1500,21.55,32325.0,8.08,0.32,16.16,48.49,73.05,32251.95,11000,29.59,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,VIOLATED_PREF,,"分红日, 持有股数影响分红资格",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-10-08,,SELL,1000,21.55,21550.0,5.39,0.22,10.78,32.33,48.7,21501.3,10000,26.9,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,VIOLATED_PREF,,截止前最后冲刺,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S1_正常分批减仓,2026-10-09,风险和低风险资产目标截止日,SELL,1000,21.55,21550.0,5.39,0.22,10.78,32.33,48.7,21501.3,9000,24.21,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,VIOLATED_PREF,,"截止日, 视约束达成情况调整",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",SELL,2000,22.0,44000.0,11.0,0.44,22.0,66.0,99.44,43900.56,22000,59.18,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,价格>MA20但仍按风险预算减仓,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-22,,SELL,1500,22.2,33300.0,8.33,0.33,16.65,49.95,75.26,33224.74,20500,55.15,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-23,股权登记日(CASH_DIVIDEND),SELL,1500,22.5,33750.0,8.44,0.34,16.88,50.63,76.28,33673.73,19000,51.11,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,登记日前,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-24,除息日(-0.10 CNY/股),SELL,1000,22.2,22200.0,5.55,0.22,11.1,33.3,50.17,22149.83,18000,48.42,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,除息调整,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-25,"2,400 CNY 应收可划转",HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000,48.42,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,暂停减仓观察,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
