principal_definition_id,principal_name,principal_value_cny,basis_explanation,cash_aggregation_scenario,low_risk_deductible_cny,use_discounted,required_sell_shares,estimated_net_cash_at_min_cny,fees_breakdown_commission,fees_breakdown_transfer,fees_breakdown_stamp,fees_breakdown_slippage,post_trade_M_shares,post_trade_M_weight_low_nav,post_trade_M_weight_high_nav,post_trade_cash_balance_cny,constraint_check_M_weight_35pct,constraint_check_min_shares_12000_soft,evidence_ids
PRIN_GROSS_INVEST_NO_DIV,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,288975.12,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,仅靠卖出 现金净额 @ 21.55,0,False,13500,290267.51,72.73,2.91,145.46,436.39,10500,0.2825,0.2818,362755.51,OK,VIOLATED,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_GROSS_INVEST_NO_DIV,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,288975.12,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,"计入可用现金 72,500 @ 21.55",72500.0,True,10100,217163.1,54.41,2.18,108.83,326.48,13900,0.3739,0.373,362151.1,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_GROSS_INVEST_NO_DIV,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,288975.12,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,"计入9/21结算应收 8,960",81460.0,True,9700,208562.58,52.26,2.09,104.52,313.55,14300,0.3847,0.3837,362510.58,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_GROSS_INVEST_NO_DIV,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,288975.12,口径A：历史现金投入（买入毛额+已发生费用，未扣已收分红）,"计入9/25应收 2,400",83836.0,True,9600,206412.45,51.72,2.07,103.44,310.32,14400,0.3874,0.3864,362736.45,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_NET_OF_REALIZED_DIV,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）",287975.12,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）",仅靠卖出 现金净额 @ 21.55,0,False,13400,288117.38,72.19,2.89,144.39,433.16,10600,0.2852,0.2845,360605.38,OK,VIOLATED,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_NET_OF_REALIZED_DIV,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）",287975.12,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）","计入可用现金 72,500 @ 21.55",72500.0,True,10100,217163.1,54.41,2.18,108.83,326.48,13900,0.3739,0.373,362151.1,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_NET_OF_REALIZED_DIV,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）",287975.12,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）","计入9/21结算应收 8,960",81460.0,True,9700,208562.58,52.26,2.09,104.52,313.55,14300,0.3847,0.3837,362510.58,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_NET_OF_REALIZED_DIV,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）",287975.12,"口径B：净现金投入（已扣历史已收现金分红 1,000 元）","计入9/25应收 2,400",83836.0,True,9500,204262.32,51.18,2.05,102.36,307.09,14500,0.3901,0.3891,360586.32,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_CURRENT_REBUILT_BASIS,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,288975.12,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,仅靠卖出 现金净额 @ 21.55,0,False,13500,290267.51,72.73,2.91,145.46,436.39,10500,0.2825,0.2818,362755.51,OK,VIOLATED,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_CURRENT_REBUILT_BASIS,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,288975.12,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,"计入可用现金 72,500 @ 21.55",72500.0,True,10100,217163.1,54.41,2.18,108.83,326.48,13900,0.3739,0.373,362151.1,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_CURRENT_REBUILT_BASIS,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,288975.12,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,"计入9/21结算应收 8,960",81460.0,True,9700,208562.58,52.26,2.09,104.52,313.55,14300,0.3847,0.3837,362510.58,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
PRIN_CURRENT_REBUILT_BASIS,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,288975.12,口径C：当前持仓重建成本（=口径A，送股不增减总成本）,"计入9/25应收 2,400",83836.0,True,9600,206412.45,51.72,2.07,103.44,310.32,14400,0.3874,0.3864,362736.45,VIOLATED,OK,LEDGER-001..005; CA-001..003; MKT-OFFICIAL-001; PAR-007/008/012/013/015
