plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,equity_exposure_max,0.791452,0.820000,通过,-0.028548,after_stock_mv / after_na,当前持仓风险快照.csv
方案A,minimum_cash_weight,0.208548,0.180000,通过,0.028548,after_net_cash / after_na,当前持仓风险快照.csv
方案A,single_name_weight_max,0.198351,0.200000,通过,-0.001649,max(after_weights) - 最重 300750.SZ,当前持仓风险快照.csv
方案A,top3_weight_max,0.512017,0.500000,不通过,0.012017,sum(top3 after_weights),当前持仓风险快照.csv
方案A,historical_cvar95_max,0.021774,0.022000,通过,-0.000226,"historical CVaR95 (Pearson相关, 共同250日, 95%尾部)",当前持仓风险快照.csv
方案A,当日订单可卖/整手/状态/涨跌停/ADV20,全部通过,全部订单通过,通过,,逐订单 T+1/整手/连续竞价/报价时效/涨跌停/ADV20 参与率,当前持仓风险快照.csv
方案A,下一交易日订单仅记录,0 单计入下一交易日,不得计入当日合规,通过,,execution_window='下一交易日' 不计入当日合规,当前持仓风险快照.csv
方案A,账户可勾稽,通过,abs(复算-报表)≤1元,通过,0.000000,复算 NA − reported NA ≤ 1 元,当前持仓风险快照.csv
方案B,equity_exposure_max,0.800488,0.820000,通过,-0.019512,after_stock_mv / after_na,当前持仓风险快照.csv
方案B,minimum_cash_weight,0.199512,0.180000,通过,0.019512,after_net_cash / after_na,当前持仓风险快照.csv
方案B,single_name_weight_max,0.183655,0.200000,通过,-0.016345,max(after_weights) - 最重 300750.SZ,当前持仓风险快照.csv
方案B,top3_weight_max,0.458218,0.500000,通过,-0.041782,sum(top3 after_weights),当前持仓风险快照.csv
方案B,historical_cvar95_max,0.020576,0.022000,通过,-0.001424,"historical CVaR95 (Pearson相关, 共同250日, 95%尾部)",当前持仓风险快照.csv
方案B,当日订单可卖/整手/状态/涨跌停/ADV20,全部通过,全部订单通过,通过,,逐订单 T+1/整手/连续竞价/报价时效/涨跌停/ADV20 参与率,当前持仓风险快照.csv
方案B,下一交易日订单仅记录,0 单计入下一交易日,不得计入当日合规,通过,,execution_window='下一交易日' 不计入当日合规,当前持仓风险快照.csv
方案B,账户可勾稽,通过,abs(复算-报表)≤1元,通过,0.000000,复算 NA − reported NA ≤ 1 元,当前持仓风险快照.csv
方案C,equity_exposure_max,0.795134,0.820000,通过,-0.024866,after_stock_mv / after_na,当前持仓风险快照.csv
方案C,minimum_cash_weight,0.204866,0.180000,通过,0.024866,after_net_cash / after_na,当前持仓风险快照.csv
方案C,single_name_weight_max,0.175921,0.200000,通过,-0.024079,max(after_weights) - 最重 002594.SZ,当前持仓风险快照.csv
方案C,top3_weight_max,0.451401,0.500000,通过,-0.048599,sum(top3 after_weights),当前持仓风险快照.csv
方案C,historical_cvar95_max,0.019760,0.022000,通过,-0.002240,"historical CVaR95 (Pearson相关, 共同250日, 95%尾部)",当前持仓风险快照.csv
方案C,当日订单可卖/整手/状态/涨跌停/ADV20,1 单未通过,全部订单通过,不通过,见明细,逐订单 T+1/整手/连续竞价/报价时效/涨跌停/ADV20 参与率,当前持仓风险快照.csv
方案C,下一交易日订单仅记录,1 单计入下一交易日,不得计入当日合规,通过,,execution_window='下一交易日' 不计入当日合规,当前持仓风险快照.csv
方案C,账户可勾稽,通过,abs(复算-报表)≤1元,通过,0.000000,复算 NA − reported NA ≤ 1 元,当前持仓风险快照.csv
