plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,账户勾稽(复算NA-报告NA),0.0,1.0,,,股票市值+净现金 vs reported_net_asset_cny,账户与交易约束/持仓批次/报价
方案A,当日订单全部可执行,是,是,,,T+1/整手/连续竞价/报价时效≤300s/涨跌停/ADV20参与率,候选减仓方案/报价
方案A,equity_exposure,0.791452,0.82,通过,-0.028548,交易后股票市值/交易后净资产,主口径
方案A,single_name_weight_max,0.198351,0.2,通过,-0.001649,交易后最大单票权重,主口径
方案A,top3_weight,0.512017,0.5,不通过,0.012017,交易后前3大权重之和,主口径
方案A,historical_cvar95,0.021774,0.022,通过,-0.000226,"N=250,m=13,最近250共同日",主口径
方案A,minimum_cash_weight,0.208548,0.18,通过,0.028548,交易后净现金/交易后净资产,主口径
方案B,账户勾稽(复算NA-报告NA),0.0,1.0,,,股票市值+净现金 vs reported_net_asset_cny,账户与交易约束/持仓批次/报价
方案B,当日订单全部可执行,是,是,,,T+1/整手/连续竞价/报价时效≤300s/涨跌停/ADV20参与率,候选减仓方案/报价
方案B,equity_exposure,0.800488,0.82,通过,-0.019512,交易后股票市值/交易后净资产,主口径
方案B,single_name_weight_max,0.183655,0.2,通过,-0.016345,交易后最大单票权重,主口径
方案B,top3_weight,0.458218,0.5,通过,-0.041782,交易后前3大权重之和,主口径
方案B,historical_cvar95,0.020576,0.022,通过,-0.001424,"N=250,m=13,最近250共同日",主口径
方案B,minimum_cash_weight,0.199512,0.18,通过,0.019512,交易后净现金/交易后净资产,主口径
方案C,账户勾稽(复算NA-报告NA),0.0,1.0,,,股票市值+净现金 vs reported_net_asset_cny,账户与交易约束/持仓批次/报价
方案C,当日订单全部可执行,否,是,,,T+1/整手/连续竞价/报价时效≤300s/涨跌停/ADV20参与率,候选减仓方案/报价
方案C,equity_exposure,0.795134,0.82,通过,-0.024866,交易后股票市值/交易后净资产,主口径
方案C,single_name_weight_max,0.175921,0.2,通过,-0.024079,交易后最大单票权重,主口径
方案C,top3_weight,0.451401,0.5,通过,-0.048599,交易后前3大权重之和,主口径
方案C,historical_cvar95,0.01976,0.022,通过,-0.00224,"N=250,m=13,最近250共同日",主口径
方案C,minimum_cash_weight,0.204866,0.18,通过,0.024866,交易后净现金/交易后净资产,主口径
