plan_id,order_sequence,ts_code,lot_id,allocated_quantity,estimated_execution_price,estimated_fee,realized_pnl_cny,eligibility_status
方案A,1,300750.SZ,P01,3000,367.0594,781.836514,170396.35,当日可执行
方案A,2,000333.SZ,P08,50000,78.0975,2772.462539,552104.35,当日可执行
方案A,3,601318.SH,P09,10000,68.3626,485.374536,163140.73,当日可执行
方案B,1,300750.SZ,P01,5000,367.0545,1303.043322,283969.24,当日可执行
方案B,2,002594.SZ,P03,20000,97.661,1386.786839,-248165.89,当日可执行
方案B,3,000858.SZ,P07,10000,105.8769,751.726211,-221982.42,当日可执行
方案B,4,000333.SZ,P08,5000,78.1067,277.278753,55256.18,当日可执行
方案C,1,300750.SZ,P01,15000,367.0384,3908.959125,851667.27,当日可执行
方案C,2,600519.SH,P05,1000,,,,待条件恢复:报价不可用(报价陈旧 age=780s>300s)
方案C,3,002594.SZ,,30000,,,,下一交易日条件动作（不计入当日合规）
