plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,equity_exposure,0.79145231,0.82,通过,-0.02854769,交易后股票市值39566570.00/交易后净资产49992361.44,持仓批次+报价+候选方案
方案A,single_name_weight_max,0.1983507,0.2,通过,-0.0016493,最大单票300750.SZ权重,持仓批次+报价+候选方案
方案A,top3_weight_max,0.51201662,0.5,不通过,0.01201662,前3大权重之和,持仓批次+报价+候选方案
方案A,historical_cvar95_max,0.0217738,0.022,通过,-0.0002262,250共同日historical CVaR95，m=13,持仓标的日线
方案A,minimum_cash_weight,0.20854769,0.18,通过,-0.02854769,交易后净现金10425791.44/交易后净资产49992361.44,账户约束+候选方案
方案A,order_1_300750.SZ_sellable,3000,18000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案A,order_1_300750.SZ_quote,367.26,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案A,order_1_300750.SZ_adv20_participation,0.0001335,0.05,通过,-0.0498665,名义金额1101780.00/ADV208252888782.80,持仓标的日线+报价
方案A,order_2_000333.SZ_sellable,50000,75000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案A,order_2_000333.SZ_quote,78.15,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案A,order_2_000333.SZ_adv20_participation,0.00183442,0.05,通过,-0.04816558,名义金额3907500.00/ADV202130104241.30,持仓标的日线+报价
方案A,order_3_601318.SH_sellable,10000,85000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案A,order_3_601318.SH_quote,68.4,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案A,order_3_601318.SH_adv20_participation,0.00013588,0.05,通过,-0.04986412,名义金额684000.00/ADV205033775276.75,持仓标的日线+报价
方案B,equity_exposure,0.80048843,0.82,通过,-0.01951157,交易后股票市值40019000.00/交易后净资产49993227.12,持仓批次+报价+候选方案
方案B,single_name_weight_max,0.18365488,0.2,通过,-0.01634512,最大单票300750.SZ权重,持仓批次+报价+候选方案
方案B,top3_weight_max,0.45821807,0.5,通过,-0.04178193,前3大权重之和,持仓批次+报价+候选方案
方案B,historical_cvar95_max,0.02057621,0.022,通过,-0.00142379,250共同日historical CVaR95，m=13,持仓标的日线
方案B,minimum_cash_weight,0.19951157,0.18,通过,-0.01951157,交易后净现金9974227.12/交易后净资产49993227.12,账户约束+候选方案
方案B,order_1_300750.SZ_sellable,5000,18000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案B,order_1_300750.SZ_quote,367.26,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案B,order_1_300750.SZ_adv20_participation,0.0002225,0.05,通过,-0.0497775,名义金额1836300.00/ADV208252888782.80,持仓标的日线+报价
方案B,order_2_002594.SZ_sellable,20000,50000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案B,order_2_002594.SZ_quote,97.72,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案B,order_2_002594.SZ_adv20_participation,0.000667,0.05,通过,-0.049333,名义金额1954400.00/ADV202930120373.75,持仓标的日线+报价
方案B,order_3_000858.SZ_sellable,10000,65000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案B,order_3_000858.SZ_quote,105.94,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案B,order_3_000858.SZ_adv20_participation,0.00056795,0.05,通过,-0.04943205,名义金额1059400.00/ADV201865303216.50,持仓标的日线+报价
方案B,order_4_000333.SZ_sellable,5000,75000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案B,order_4_000333.SZ_quote,78.15,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=10.0s, trading_status=连续竞价",持仓标的报价
方案B,order_4_000333.SZ_adv20_participation,0.00018344,0.05,通过,-0.04981656,名义金额390750.00/ADV202130104241.30,持仓标的日线+报价
方案C,equity_exposure,0.79513402,0.82,通过,-0.02486598,交易后股票市值39750950.00/交易后净资产49992767.27,持仓批次+报价+候选方案
方案C,single_name_weight_max,0.17592145,0.2,通过,-0.02407855,最大单票002594.SZ权重,持仓批次+报价+候选方案
方案C,top3_weight_max,0.4514013,0.5,通过,-0.0485987,前3大权重之和,持仓批次+报价+候选方案
方案C,historical_cvar95_max,,0.022,无法评估,,250共同日historical CVaR95，m=13,持仓标的日线
方案C,minimum_cash_weight,0.20486598,0.18,通过,-0.02486598,交易后净现金10241817.27/交易后净资产49992767.27,账户约束+候选方案
方案C,order_1_300750.SZ_sellable,15000,18000,通过,,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案C,order_1_300750.SZ_quote,367.26,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",通过,,"quote_age=780.0s, trading_status=连续竞价",持仓标的报价
方案C,order_1_300750.SZ_adv20_participation,0.00066751,0.05,通过,-0.04933249,名义金额5508900.00/ADV208252888782.80,持仓标的日线+报价
方案C,order_2_600519.SH_sellable,1000,5000,待条件恢复,报价时效780.0s超过上限300.0s,当日累计卖出vs可卖数量; 整手=True,持仓批次+候选方案
方案C,order_2_600519.SH_quote,1377.18,"quote_age<=300.0s, 连续竞价, 跌停<price<=涨停",待条件恢复,报价时效780.0s超过上限300.0s,"quote_age=780.0s, trading_status=连续竞价",持仓标的报价
方案C,order_2_600519.SH_adv20_participation,0.00035316,0.05,通过,-0.04964684,名义金额1377180.00/ADV203899539472.75,持仓标的日线+报价
