plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,股票仓位,0.791452,0.82,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案A,单票最大权重,0.198351,0.2,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案A,前三大权重,0.512017,0.5,不通过,0.012017,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案A,250日historical_CVaR95,0.021774,0.022,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案A,最低现金权重,0.208548,0.18,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案A,当日订单可执行性(T+1/整手/报价时效/涨跌停/ADV20),全部当日订单可执行,全部当日订单可执行,通过,,逐订单校验available_to_sell/board_lot/trading_status/quote_age/limit/ADV20,候选减仓方案_20251231.csv;持仓标的报价_20251231T1445.csv;持仓批次_20251231T1445.csv
方案A,交易后净资产勾稽(=reported_NA-费用-滑点),49992361.44,49992361.44,通过,0.0,post_mv+post_cash vs reported_NV-fees-slippage,账户与交易约束_20251231T1445.csv
方案B,股票仓位,0.800488,0.82,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案B,单票最大权重,0.183655,0.2,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案B,前三大权重,0.458218,0.5,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案B,250日historical_CVaR95,0.020576,0.022,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案B,最低现金权重,0.199512,0.18,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案B,当日订单可执行性(T+1/整手/报价时效/涨跌停/ADV20),全部当日订单可执行,全部当日订单可执行,通过,,逐订单校验available_to_sell/board_lot/trading_status/quote_age/limit/ADV20,候选减仓方案_20251231.csv;持仓标的报价_20251231T1445.csv;持仓批次_20251231T1445.csv
方案B,交易后净资产勾稽(=reported_NA-费用-滑点),49993227.12,49993227.12,通过,0.0,post_mv+post_cash vs reported_NV-fees-slippage,账户与交易约束_20251231T1445.csv
方案C,股票仓位,0.795134,0.82,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案C,单票最大权重,0.175921,0.2,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案C,前三大权重,0.451401,0.5,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案C,250日historical_CVaR95,无法评估,0.022,无法评估,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案C,最低现金权重,0.204866,0.18,通过,,交易后盯市×current_price_cny / 交易后净资产,持仓批次_20251231T1445.csv;持仓标的报价_20251231T1445.csv;账户与交易约束_20251231T1445.csv
方案C,当日订单可执行性(T+1/整手/报价时效/涨跌停/ADV20),存在不可执行订单,全部当日订单可执行,不通过,订单2(600519.SH 1000股): 报价不可用(报价陈旧 age=780s>300s),逐订单校验available_to_sell/board_lot/trading_status/quote_age/limit/ADV20,候选减仓方案_20251231.csv;持仓标的报价_20251231T1445.csv;持仓批次_20251231T1445.csv
方案C,交易后净资产勾稽(=reported_NA-费用-滑点),49992767.27,49992767.27,通过,0.0,post_mv+post_cash vs reported_NV-fees-slippage,账户与交易约束_20251231T1445.csv
