指标,当前值(明细NAV口径),当前值(券商NAV口径),约束阈值,判定,方案1后,方案2后,方案3后,source_id
NAV,1040050.0,1038800.0,-,-,1039860.72,1039976.33,1039718.13,BRK-ACC-01
证券A权重,0.387674,0.3881404925876011,<=27%,超限,0.258496,0.387701,0.1702,CON-03
证券B权重,0.094467,0.09458067322872545,-,-,0.094484,0.094473,0.094497,-
证券C权重,0.116917,0.11705768757219868,-,-,0.116939,0.116926,0.116955,-
证券D权重,0.129801,0.12995719103773584,-,-,0.129825,0.129811,0.129843,-
ETF权重,0.198067,0.19830533630150174,-,-,0.150162,0.020997,0.085592,-
现金权重,0.073073,0.07316092958221025,-,-,0.250094,0.250093,0.402913,-
股票+ETF仓位,0.926926,0.9280413807277628,<=75%,超限,0.749906,0.749908,0.5970869999999999,CON-02
高波动资产(A+D),0.517475,0.5180976836253369,<=30%,超限,0.388321,0.517512,0.30004299999999995,CON-04
电子行业(A+D),0.517475,0.5180976836253369,<=32%,超限,0.388321,0.517512,0.30004299999999995,CON-05
组合年化波动率,0.307836,0.307836,-,-,未重算,未重算,0.189113,RISK-01~05/CORR
RC(A),0.582002,0.582002,<=55%,超限(58.20%),未重算,未重算,0.397944,CON-07
RC(D),0.227125,0.227125,<=55%,达标,未重算,未重算,0.38259,CON-07
RC加总,1.0,1.0,=100%,通过,未重算,未重算,1.000001,计算校验
压力S1损失率,0.132245,0.132245,<=9%,超限,未重算,未重算,未重算,CON-06/SCEN-01
压力S2损失率,0.119679,0.119679,<=9%,超限,0.10469,0.116317,0.09008,CON-06/SCEN-02
最不利压力损失率,0.132245,0.132245,<=9%,超限,0.10469,0.116317,0.09008,CON-06
可划转现金,58000.0,58000.0,>=260000(9/2),不达标,260048.54,260076.15,418901.95,CON-01
