方案,证券,卖出数量,预计成交价,成交额,佣金,印花税,过户费,滑点,总费用,净回笼,最早执行日,交易后数量,交易后权重,实现盈亏,备注
方案A_偏好优先,证券A,6000,22.40,134400.00,33.60,67.20,1.34,67.20,169.34,134230.66,2026-08-31,12000,0.258512,7064.27,
方案A_偏好优先,证券B,6400,7.86,50304.00,12.58,25.15,0.50,30.18,68.41,50235.59,2026-08-31,6100,0.046111,-1617.89,
方案A_偏好优先_合计,,,,184704.00,,,,,237.76,184466.24,,,,5446.38,
方案A_偏好优先_期末,可划转现金,,,,,,,,,260452.06,9/2 9:00,,,,目标>=260000
方案A_偏好优先_期末,NAV(划出前),,,,,,,,,1039798.06,,,,,
方案A_偏好优先_期末,股票仓位,,,,,,,,,0.749517,,,,,阈值<=0.75
方案A_偏好优先_期末,高波动权重,,,,,,,,,0.388345,,,,,阈值<=0.30
方案A_偏好优先_期末,组合波动率,,,,,,,,,0.246192,,,,,
方案A_偏好优先_期末,最不利压力损失率,,,,,,,,,-0.107560,,,,,阈值<=0.09

方案B_流动性优先,宽基ETF,45000,4.12,185400.00,37.08,0.00,0.00,37.08,74.16,185325.84,2026-08-31,5000,0.019808,8881.74,
方案B_流动性优先_合计,,,,185400.00,,,,,74.16,185325.84,,,,8881.74,
方案B_流动性优先_期末,可划转现金,,,,,,,,,261311.66,9/2 9:00,,,,目标>=260000
方案B_流动性优先_期末,NAV(划出前),,,,,,,,,1039961.66,,,,,
方案B_流动性优先_期末,股票仓位,,,,,,,,,0.748730,,,,,阈值<=0.75
方案B_流动性优先_期末,高波动权重,,,,,,,,,0.517519,,,,,阈值<=0.30
方案B_流动性优先_期末,组合波动率,,,,,,,,,0.276987,,,,,
方案B_流动性优先_期末,最不利压力损失率,,,,,,,,,-0.116211,,,,,阈值<=0.09

方案C_风险预算优先,证券A,10200,22.40,228480.00,57.12,114.24,2.28,114.24,287.88,228192.12,2026-08-31,7800,0.168041,12009.26,
方案C_风险预算优先_合计,,,,228480.00,,,,,287.88,228192.12,,,,12009.26,
方案C_风险预算优先_期末,可划转现金,,,,,,,,,304177.94,9/2 9:00,,,,目标>=260000
方案C_风险预算优先_期末,NAV(划出前),,,,,,,,,1039747.94,,,,,
方案C_风险预算优先_期末,股票仓位,,,,,,,,,0.707450,,,,,阈值<=0.75
方案C_风险预算优先_期末,高波动权重,,,,,,,,,0.297880,,,,,阈值<=0.30
方案C_风险预算优先_期末,组合波动率,,,,,,,,,0.208330,,,,,
方案C_风险预算优先_期末,最不利压力损失率,,,,,,,,,-0.097740,,,,,阈值<=0.09

=== 关键成交失败/不确定性情景 ===
情景,假设,对现金目标影响,对风险约束影响,应对
证券D 9/1前恢复有效买盘,"可按13.50附近卖出,滑点30bps",可额外净回笼约134492元,高波动/电子权重立即下降,优先卖D以降低高波动暴露
证券D持续跌停零买盘,可执行量=0,不能计入可变现资金,"高波动/电子仍超限,需卖更多A","按方案B或C执行,标注D不可交易"
证券D恢复但仅部分成交,假设成交50%(5000股),净回笼约67246元,部分改善高波动,"按实际成交量重算约束,不足部分补卖ETF或A"
主要可卖证券价格跌5%,"A=21.28,B=7.47,ETF=3.914",净回笼减少约5%,"权重分母变小,约束更紧",需多卖约5%数量补现金缺口
主要可卖证券价格跌10%,"A=20.16,B=7.07,ETF=3.708",净回笼减少约10%,"权重分母变小,约束更紧",需多卖约11%数量补现金缺口
