指标,券商NAV口径值,明细NAV口径值,阈值,单位,判定(明细NAV),说明
NAV,1038800.00,1040035.82,-,CNY,-,残差1235.82元
现金(可划转+未结算净额),0.073148,0.073061,-,NAV,-,
股票及ETF仓位,0.928042,0.926939,0.75,NAV,FAIL,需卖出约184023元市值降至75%
证券A权重,0.388140,0.387679,0.27,NAV,FAIL,单票超限
证券B权重,0.094580,0.094468,0.27,NAV,PASS,
证券C权重,0.117058,0.116919,0.27,NAV,PASS,
证券D权重,0.129958,0.129803,0.27,NAV,PASS,
宽基ETF权重,0.198306,0.198070,0.27,NAV,PASS,
高波动合计(A+D),0.518098,0.517482,0.30,NAV,FAIL,证券A+证券D
电子行业合计(A+D),0.518098,0.517482,0.32,NAV,FAIL,证券A+证券D
组合年化波动率,0.308206,0.307840,-,年化,-,"相关性矩阵检查:5x5对称,对角线=1,取值[-1,1],通过"
证券A风险贡献占比,0.582002,0.582002,0.55,组合方差,FAIL,
证券B风险贡献占比,0.015781,0.015781,0.55,组合方差,PASS,
证券C风险贡献占比,0.060229,0.060229,0.55,组合方差,PASS,
证券D风险贡献占比,0.227125,0.227125,0.55,组合方差,PASS,
宽基ETF风险贡献占比,0.114862,0.114862,0.55,组合方差,PASS,
风险贡献合计,1.000000,1.000000,1.00,-,PASS,分解型占比加总检验

=== 压力情景 ===
情景,名称,损失额,损失率,阈值,判定,最不利?
STRESS-01,成长与电子风险重估,-137541.50,-0.132247,0.09,FAIL,是
STRESS-02,流动性与复牌跳空,-124472.50,-0.119681,0.09,FAIL,否
STRESS-03,风险偏好修复,93089.00,0.089506,0.09,PASS,否

=== 证券B除息口径 ===
项目,值,说明
买入成本单价(重建),8.1021,含买入费用
除息前收盘价,8.16,8/27收盘8.16
除息后收盘价,7.86,8/28收盘7.86
机械除息价差,0.30,含0.30元现金股息
未调整价格收益(单价),-0.2421,机械除息造成虚假亏损
总回报口径(含股息0.30),0.0579,加回已确认现金股息
