plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,account_reconciliation,0.0,1.0,通过,0.0,净现金=现金-应付费；复算NAV=股票市值+净现金，与reported差额(元),持仓批次_20251231T1445.csv / 账户与交易约束_20251231T1445.csv
方案A,today_order_executable,0.0,全部当日订单可执行,通过,0.0,全部当日订单：可卖/T+1/整手/连续竞价/报价≤300s/涨跌停内/ADV20参与率≤5%,持仓标的报价_20251231T1445.csv / 持仓批次_20251231T1445.csv
方案A,equity_exposure,0.791452,0.82,通过,-0.028548,股票仓位上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案A,single_name_weight,0.198351,0.2,通过,-0.001649,单票权重上限(取交易后最大),账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案A,top3_weight,0.512017,0.5,不通过,0.012017,前三大权重上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案A,historical_cvar95,0.021774,0.022,通过,-0.000226,250日历史CVaR95上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案A,minimum_cash_weight,0.208548,0.18,通过,-0.028548,净现金权重下限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案B,account_reconciliation,0.0,1.0,通过,0.0,净现金=现金-应付费；复算NAV=股票市值+净现金，与reported差额(元),持仓批次_20251231T1445.csv / 账户与交易约束_20251231T1445.csv
方案B,today_order_executable,0.0,全部当日订单可执行,通过,0.0,全部当日订单：可卖/T+1/整手/连续竞价/报价≤300s/涨跌停内/ADV20参与率≤5%,持仓标的报价_20251231T1445.csv / 持仓批次_20251231T1445.csv
方案B,equity_exposure,0.800488,0.82,通过,-0.019512,股票仓位上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案B,single_name_weight,0.183655,0.2,通过,-0.016345,单票权重上限(取交易后最大),账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案B,top3_weight,0.458218,0.5,通过,-0.041782,前三大权重上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案B,historical_cvar95,0.020576,0.022,通过,-0.001424,250日历史CVaR95上限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案B,minimum_cash_weight,0.199512,0.18,通过,-0.019512,净现金权重下限,账户与交易约束_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv / 持仓标的报价_20251231T1445.csv
方案C,account_reconciliation,0.0,1.0,通过,0.0,净现金=现金-应付费；复算NAV=股票市值+净现金，与reported差额(元),持仓批次_20251231T1445.csv / 账户与交易约束_20251231T1445.csv
方案C,today_order_executable,NA,全部当日订单可执行,不通过,NA,序2 600519.SH: 报价已陈旧(age=780s > 300s),持仓标的报价_20251231T1445.csv / 持仓批次_20251231T1445.csv
方案C,equity_exposure,NA,0.82,无法评估,NA,当日订单不可成交，交易后权重/风险无法用有效报价重建,持仓标的报价_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv
方案C,single_name_weight,NA,0.2,无法评估,NA,当日订单不可成交，交易后权重/风险无法用有效报价重建,持仓标的报价_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv
方案C,top3_weight,NA,0.5,无法评估,NA,当日订单不可成交，交易后权重/风险无法用有效报价重建,持仓标的报价_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv
方案C,historical_cvar95,NA,0.022,无法评估,NA,当日订单不可成交，交易后权重/风险无法用有效报价重建,持仓标的报价_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv
方案C,minimum_cash_weight,NA,0.18,无法评估,NA,当日订单不可成交，交易后权重/风险无法用有效报价重建,持仓标的报价_20251231T1445.csv / 持仓标的日线_20240102_20251230.csv
