scenario_id,scenario_name,day_index,trade_date,price_condition,planned_sell_shares,planned_t_shares,assumed_price,gross_amount,estimated_fees,estimated_net_cash,cumulative_net_cash,post_trade_shares,post_trade_weight_low,post_trade_weight_high,weight_35pct_ok,rc_60pct_status,cash_floor_50k_ok,low_risk_assets_total,low_risk_300k_ok,execution_status,dividend_record_eligible_shares,note
SCN-NORMAL,正常成交_价格≥偏好价,1,2026-09-21,价格≥20.80(除息后≥20.70)，正常流动性,3000,0,21.55,64650.00,146.11,64503.89,64503.89,21000,56.5050%,56.3643%,NO,>>60%(严重违反),YES,265963.89,NO,EXECUTABLE_条件成立,,
SCN-NORMAL,正常成交_价格≥偏好价,2,2026-09-22,价格≥20.80(除息后≥20.70)，正常流动性,3000,0,21.55,64650.00,146.11,64503.89,129007.78,18000,48.4417%,48.3210%,NO,>>60%(严重违反),YES,330467.78,YES,EXECUTABLE_条件成立,,
SCN-NORMAL,正常成交_价格≥偏好价,3,2026-09-23,价格≥20.80(除息后≥20.70)，正常流动性,2000,0,21.55,43100.00,97.41,43002.59,172010.38,16000,43.0646%,42.9573%,NO,>>60%(严重违反),YES,373470.38,YES,EXECUTABLE_条件成立,16000,
SCN-NORMAL,正常成交_价格≥偏好价,4,2026-09-24,价格≥20.80(除息后≥20.70)，正常流动性,2000,0,21.45,42900.00,96.95,42803.05,214813.42,14000,37.5112%,37.4177%,NO,>>60%(严重违反),YES,416273.42,YES,EXECUTABLE_条件成立,,每日卖出≤9000股(ADV5%); 除息日价格触发线下调0.1元
SCN-NORMAL,正常成交_价格≥偏好价,5,2026-09-25,价格≥20.80(除息后≥20.70)，正常流动性,2000,0,21.45,42900.00,96.95,42803.05,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,EXECUTABLE_条件成立,,
SCN-NORMAL,正常成交_价格≥偏好价,6,2026-09-28,价格≥20.80(除息后≥20.70)，正常流动性,0,0,21.45,0.00,0.00,0.00,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,HOLD_条件未触发,,
SCN-NORMAL,正常成交_价格≥偏好价,7,2026-09-29,价格≥20.80(除息后≥20.70)，正常流动性,0,0,21.45,0.00,0.00,0.00,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,HOLD_条件未触发,,
SCN-NORMAL,正常成交_价格≥偏好价,8,2026-09-30,价格≥20.80(除息后≥20.70)，正常流动性,0,0,21.45,0.00,0.00,0.00,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,HOLD_条件未触发,,
SCN-NORMAL,正常成交_价格≥偏好价,9,2026-10-08,价格≥20.80(除息后≥20.70)，正常流动性,0,0,21.45,0.00,0.00,0.00,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,HOLD_条件未触发,,
SCN-NORMAL,正常成交_价格≥偏好价,10,2026-10-09,价格≥20.80(除息后≥20.70)，正常流动性,0,0,21.45,0.00,0.00,0.00,257616.47,12000,32.1564%,32.0762%,YES,>60%(违反，需继续减仓),YES,461476.47,YES,HOLD_条件未触发,,
SCN-UP,上涨至压力位_加速减仓,1,2026-09-21,价格≥22.00接近技术压力22.30，加速卖出,4000,0,22.10,88400.00,199.78,88200.22,88200.22,20000,55.1911%,55.0537%,NO,>>60%(严重违反),YES,289660.22,NO,EXECUTABLE_条件成立,,
SCN-UP,上涨至压力位_加速减仓,2,2026-09-22,价格≥22.00接近技术压力22.30，加速卖出,4000,0,22.20,88800.00,200.69,88599.31,176799.53,16000,44.3635%,44.2529%,NO,>>60%(严重违反),YES,378259.53,YES,EXECUTABLE_条件成立,,
SCN-UP,上涨至压力位_加速减仓,3,2026-09-23,价格≥22.00接近技术压力22.30，加速卖出,3000,0,22.30,66900.00,151.19,66748.81,243548.33,13000,36.2143%,36.1241%,NO,>>60%(严重违反),YES,445008.33,YES,EXECUTABLE_条件成立,13000,
SCN-UP,上涨至压力位_加速减仓,4,2026-09-24,价格≥22.00接近技术压力22.30，加速卖出,2000,0,22.20,44400.00,100.34,44299.66,287847.99,11000,30.5092%,30.4331%,YES,>60%(违反，需继续减仓),YES,489307.99,YES,EXECUTABLE_条件成立,,每日卖出≤9000股(ADV5%); 除息日价格触发线下调0.1元
SCN-UP,上涨至压力位_加速减仓,5,2026-09-25,价格≥22.00接近技术压力22.30，加速卖出,1000,0,22.10,22100.00,49.95,22050.05,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,EXECUTABLE_条件成立,,
SCN-UP,上涨至压力位_加速减仓,6,2026-09-28,价格≥22.00接近技术压力22.30，加速卖出,0,0,22.10,0.00,0.00,0.00,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,HOLD_条件未触发,,
SCN-UP,上涨至压力位_加速减仓,7,2026-09-29,价格≥22.00接近技术压力22.30，加速卖出,0,0,22.10,0.00,0.00,0.00,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,HOLD_条件未触发,,
SCN-UP,上涨至压力位_加速减仓,8,2026-09-30,价格≥22.00接近技术压力22.30，加速卖出,0,0,22.10,0.00,0.00,0.00,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,HOLD_条件未触发,,
SCN-UP,上涨至压力位_加速减仓,9,2026-10-08,价格≥22.00接近技术压力22.30，加速卖出,0,0,22.10,0.00,0.00,0.00,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,HOLD_条件未触发,,
SCN-UP,上涨至压力位_加速减仓,10,2026-10-09,价格≥22.00接近技术压力22.30，加速卖出,0,0,22.10,0.00,0.00,0.00,309898.04,10000,27.6124%,27.5435%,YES,>60%(违反，需继续减仓),YES,513758.04,YES,HOLD_条件未触发,,
SCN-BELOW,跌破偏好价_仍可交易,1,2026-09-21,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.50,41000.00,92.66,40907.34,40907.34,22000,56.3081%,56.1678%,NO,>>60%(严重违反),YES,242367.34,NO,EXECUTABLE_条件成立,,
SCN-BELOW,跌破偏好价_仍可交易,2,2026-09-22,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.40,40800.00,92.21,40707.79,81615.13,20000,50.9457%,50.8188%,NO,>>60%(严重违反),YES,283075.13,NO,EXECUTABLE_条件成立,,
SCN-BELOW,跌破偏好价_仍可交易,3,2026-09-23,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.30,40600.00,91.76,40508.24,122123.38,18000,45.6319%,45.5182%,NO,>>60%(严重违反),YES,323583.38,YES,EXECUTABLE_条件成立,18000,
SCN-BELOW,跌破偏好价_仍可交易,4,2026-09-24,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.20,40400.00,91.30,40308.70,162432.07,16000,40.3668%,40.2662%,NO,>>60%(严重违反),YES,363892.07,YES,EXECUTABLE_条件成立,,每日卖出≤9000股(ADV5%); 除息日价格触发线下调0.1元
SCN-BELOW,跌破偏好价_仍可交易,5,2026-09-25,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.10,40200.00,90.85,40109.15,202541.22,14000,35.1504%,35.0628%,NO,>>60%(严重违反),YES,406401.22,YES,EXECUTABLE_条件成立,,
SCN-BELOW,跌破偏好价_仍可交易,6,2026-09-28,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,2000,0,20.00,40000.00,90.40,39909.60,242450.82,12000,29.9826%,29.9079%,YES,>60%(违反，需继续减仓),YES,446310.82,YES,EXECUTABLE_条件成立,,
SCN-BELOW,跌破偏好价_仍可交易,7,2026-09-29,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,0,0,20.00,0.00,0.00,0.00,242450.82,12000,29.9826%,29.9079%,YES,>60%(违反，需继续减仓),YES,446310.82,YES,HOLD_条件未触发,,
SCN-BELOW,跌破偏好价_仍可交易,8,2026-09-30,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,0,0,20.00,0.00,0.00,0.00,242450.82,12000,29.9826%,29.9079%,YES,>60%(违反，需继续减仓),YES,446310.82,YES,HOLD_条件未触发,,
SCN-BELOW,跌破偏好价_仍可交易,9,2026-10-08,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,0,0,20.00,0.00,0.00,0.00,242450.82,12000,29.9826%,29.9079%,YES,>60%(违反，需继续减仓),YES,446310.82,YES,HOLD_条件未触发,,
