plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案A,当日订单可卖/T+1/整手/报价/涨跌停/参与率,全部通过,全部当日订单通过,通过,0,逐单检查报价/可卖/整手/ADV20,方案CSV+报价CSV+批次CSV
方案A,equity_exposure(股票仓位),0.791452,0.82,通过,-0.028548,交易后净资产=49992361.44,持仓快照与报价CSV
方案A,single_name_weight(300750.SZ),0.198351,0.2,通过,-0.001649,交易后净资产=49992361.44,持仓快照与报价CSV
方案A,top3_weight(300750.SZ/002594.SZ/000858.SZ),0.512017,0.5,不通过,0.012017,交易后净资产=49992361.44,持仓快照与报价CSV
方案A,historical_CVaR95,0.021774,0.022,通过,-0.000226,交易后净资产=49992361.44,持仓快照与报价CSV
方案A,minimum_cash_weight(净现金权重),0.208548,0.18,通过,-0.028548,交易后净资产=49992361.44,持仓快照与报价CSV
方案A,敏感性:CVaR95(200日窗口),0.021579,0.022,通过,-0.000421,最近200共同日,日线CSV
方案B,当日订单可卖/T+1/整手/报价/涨跌停/参与率,全部通过,全部当日订单通过,通过,0,逐单检查报价/可卖/整手/ADV20,方案CSV+报价CSV+批次CSV
方案B,equity_exposure(股票仓位),0.800488,0.82,通过,-0.019512,交易后净资产=49993227.12,持仓快照与报价CSV
方案B,single_name_weight(300750.SZ),0.183655,0.2,通过,-0.016345,交易后净资产=49993227.12,持仓快照与报价CSV
方案B,top3_weight(300750.SZ/600519.SH/002594.SZ),0.458218,0.5,通过,-0.041782,交易后净资产=49993227.12,持仓快照与报价CSV
方案B,historical_CVaR95,0.020576,0.022,通过,-0.001424,交易后净资产=49993227.12,持仓快照与报价CSV
方案B,minimum_cash_weight(净现金权重),0.199512,0.18,通过,-0.019512,交易后净资产=49993227.12,持仓快照与报价CSV
方案B,敏感性:CVaR95(200日窗口),0.020607,0.022,通过,-0.001393,最近200共同日,日线CSV
方案C,当日订单可卖/T+1/整手/报价/涨跌停/参与率,存在不通过项,全部当日订单通过,不通过,600519.SH@seq2 报价陈旧(age=780s>300s),逐单检查报价/可卖/整手/ADV20,方案CSV+报价CSV+批次CSV
方案C,equity_exposure(股票仓位),0.767614,0.82,通过,-0.052386,交易后净资产=49990997.92,持仓快照与报价CSV
方案C,single_name_weight(002594.SZ),0.175928,0.2,通过,-0.024072,交易后净资产=49990997.92,持仓快照与报价CSV
方案C,top3_weight(002594.SZ/000858.SZ/000333.SZ),0.430921,0.5,通过,-0.069079,交易后净资产=49990997.92,持仓快照与报价CSV
方案C,historical_CVaR95,0.019225,0.022,通过,-0.002775,交易后净资产=49990997.92,持仓快照与报价CSV
方案C,minimum_cash_weight(净现金权重),0.232386,0.18,通过,-0.052386,交易后净资产=49990997.92,持仓快照与报价CSV
方案C,敏感性:CVaR95(200日窗口),0.019157,0.022,通过,-0.002843,最近200共同日,日线CSV
