plan_id,order_sequence,ts_code,lot_id,buy_date,allocated_quantity,estimated_execution_price,estimated_fee,realized_pnl_cny,participation,slippage_bps,eligibility_status
方案A,1,300750.SZ,P01,2024-08-16,3000,367.0594,781.8365,170396.3522,0.00013,5.462,可执行
方案A,2,000333.SZ,P08,2024-09-09,50000,78.0975,2772.4625,552104.353,0.00183,6.713,可执行
方案A,3,601318.SH,P09,2024-03-15,10000,68.3626,485.3745,163140.7323,0.00014,5.466,可执行
方案B,1,300750.SZ,P01,2024-08-16,5000,367.0545,1303.0433,283969.2415,0.00022,5.597,可执行
方案B,2,002594.SZ,P03,2024-11-08,20000,97.661,1386.7868,-248165.8874,0.00067,6.033,可执行
方案B,3,000858.SZ,P07,2024-05-20,10000,105.8769,751.7262,-221982.4155,0.00057,5.953,可执行
方案B,4,000333.SZ,P08,2024-09-09,5000,78.1067,277.2788,55256.1769,0.00018,5.542,可执行
方案C,1,300750.SZ,P01,2024-08-16,15000,367.0384,3908.9591,851667.2736,0.00067,6.033,可执行
方案C,2,600519.SH,P05,2023-06-12,1000,1376.3879,977.2354,-124589.349,0.00035,5.752,待条件恢复
方案C,3,002594.SZ,"(下一交易日,不进当日成交)",,30000,,,,,,后续条件动作
