plan_id,order_sequence,execution_window,side,ts_code,security_name,sell_quantity,order_type,desk_note,plan_source,as_of
方案A,1,当日,卖出,300750.SZ,宁德时代,3000,限价委托,降低单票权重,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案A,2,当日,卖出,000333.SZ,美的集团,50000,限价委托,压降股票仓位,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案A,3,当日,卖出,601318.SH,中国平安,10000,限价委托,压降股票仓位,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案B,1,当日,卖出,300750.SZ,宁德时代,5000,限价委托,降低单票及风险贡献,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案B,2,当日,卖出,002594.SZ,比亚迪,20000,限价委托,降低集中及风险贡献,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案B,3,当日,卖出,000858.SZ,五粮液,10000,限价委托,降低集中,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案B,4,当日,卖出,000333.SZ,美的集团,5000,限价委托,补足现金目标,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案C,1,当日,卖出,300750.SZ,宁德时代,15000,限价委托,含当日买入批次,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案C,2,当日,卖出,600519.SH,贵州茅台,1000,限价委托,使用附件报价测算,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
方案C,3,下一交易日,卖出,002594.SZ,比亚迪,30000,限价委托,下一交易日备选,题方脱敏交易台提案,2025-12-31T14:45:00+08:00
