Date,Close,Adj Close,Volume
2024-01-02,21.96,21.96,1713219
2024-01-03,22.53,22.53,2595642
2024-01-04,22.81,22.81,413846
2024-01-05,22.58,22.58,405417
2024-01-08,22.48,22.48,685451
2024-01-09,22.73,22.73,1187553
2024-01-10,22.76,22.76,1663322
2024-01-11,23.1,23.1,337564
2024-01-12,22.66,22.66,688672
2024-01-15,23.23,23.23,629945
2024-01-16,23.76,23.76,863512
2024-01-17,23.43,23.43,467428
2024-01-18,23.4,23.4,800340
2024-01-19,23.28,23.28,679148
2024-01-22,23.23,23.23,1420142
2024-01-23,23.53,23.53,1147765
2024-01-24,23.45,23.45,764935
2024-01-25,23.26,23.26,619765
2024-01-26,23.5,23.5,225779
2024-01-29,23.91,23.91,814651
2024-01-30,23.85,23.85,426871
2024-01-31,23.99,23.99,1395273
2024-02-01,23.67,23.67,285860
2024-02-02,24.0,24.0,569360
2024-02-05,24.68,24.68,678227
2024-02-06,24.91,24.91,953465
2024-02-07,24.96,24.96,364678
2024-02-08,24.47,24.47,765824
2024-02-19,24.45,24.45,717192
2024-02-20,23.95,23.95,1466509
2024-02-21,24.23,24.23,483028
2024-02-22,24.79,24.79,1061927
2024-02-23,25.25,25.25,476417
2024-02-26,25.36,25.36,777972
2024-02-27,25.58,25.58,601249
2024-02-28,25.45,25.45,442012
2024-02-29,25.58,25.58,445954
2024-03-01,25.72,25.72,813899
2024-03-04,25.78,25.78,548772
2024-03-05,25.08,25.08,1017409
2024-03-06,25.22,25.22,637065
2024-03-07,25.41,25.41,512516
2024-03-08,25.25,25.25,470234
2024-03-11,25.43,25.43,1203447
2024-03-12,25.73,25.73,512377
2024-03-13,25.16,25.16,720366
2024-03-14,25.47,25.47,285432
2024-03-15,25.37,25.37,334206
2024-03-18,25.09,25.09,380213
2024-03-19,25.17,25.17,336949
2024-03-20,24.98,24.98,557519
2024-03-21,24.88,24.88,878692
2024-03-22,24.62,24.62,798108
2024-03-25,24.46,24.46,753479
2024-03-26,24.15,24.15,892780
2024-03-27,24.02,24.02,744726
2024-03-28,23.75,23.75,781969
2024-03-29,23.41,23.41,353039
2024-04-01,23.73,23.73,655002
2024-04-02,23.76,23.76,696881
2024-04-03,23.91,23.91,299095
2024-04-08,24.42,24.42,761162
2024-04-09,24.64,24.64,263566
2024-04-10,24.68,24.68,723230
2024-04-11,24.41,24.41,881688
2024-04-12,24.67,24.67,356651
2024-04-15,24.84,24.84,791092
2024-04-16,25.18,25.18,413003
2024-04-17,25.18,25.18,682942
2024-04-18,25.11,25.11,312549
2024-04-19,24.56,24.56,982709
2024-04-22,24.75,24.75,1245313
2024-04-23,24.36,24.36,690145
2024-04-24,24.25,24.25,1102515
2024-04-25,24.42,24.42,313225
2024-04-26,24.47,24.47,2419103
2024-04-29,24.48,24.48,882555
2024-04-30,24.63,24.63,589911
2024-05-06,24.17,24.17,1261426
2024-05-07,24.21,24.21,584398
2024-05-08,24.59,24.59,740547
2024-05-09,24.94,24.94,988677
2024-05-10,24.55,24.55,1113641
2024-05-13,24.84,24.84,702847
2024-05-14,25.0,25.0,761280
2024-05-15,24.75,24.75,412776
2024-05-16,24.39,24.39,490824
2024-05-17,24.38,24.38,895738
2024-05-20,24.8,24.8,375357
2024-05-21,24.96,24.96,554105
2024-05-22,24.72,24.72,522231
2024-05-23,24.78,24.78,719962
2024-05-24,25.1,25.1,247134
2024-05-27,25.11,25.11,1252841
2024-05-28,25.0,25.0,381279
2024-05-29,25.16,25.16,580212
2024-05-30,24.6,24.6,554493
2024-05-31,24.75,24.75,175657
2024-06-03,24.39,24.39,350196
2024-06-04,24.4,24.4,542954
2024-06-05,24.52,24.52,911341
2024-06-06,24.51,24.51,820127
2024-06-07,24.33,24.33,538004
2024-06-11,24.25,24.25,476792
2024-06-12,24.5,24.5,1466086
2024-06-13,24.15,24.15,877154
2024-06-14,23.93,23.93,576590
2024-06-17,24.05,24.05,616076
2024-06-18,24.29,24.29,778022
2024-06-19,24.32,24.32,513085
2024-06-20,24.2,24.2,439414
2024-06-21,24.42,24.42,303959
2024-06-24,24.34,24.34,239871
2024-06-25,24.94,24.94,597959
2024-06-26,25.35,25.35,617789
2024-06-27,25.93,25.93,489513
2024-06-28,25.68,25.68,524772
2024-07-01,25.57,25.57,676831
2024-07-02,25.53,25.53,965939
2024-07-03,25.2,25.2,1083339
2024-07-04,25.08,25.08,1003661
2024-07-05,25.38,25.38,488179
2024-07-08,25.12,25.12,1011866
2024-07-09,25.07,25.07,505776
2024-07-10,25.53,25.53,684639
2024-07-11,25.66,25.66,1404990
2024-07-12,25.84,25.84,1877334
2024-07-15,25.88,25.88,657471
2024-07-16,25.72,25.72,717144
2024-07-17,25.65,25.65,666714
2024-07-18,25.76,25.76,707623
2024-07-19,25.62,25.62,520129
2024-07-22,25.67,25.67,689665
2024-07-23,25.57,25.57,1872768
2024-07-24,25.58,25.58,501943
2024-07-25,26.08,26.08,1315768
2024-07-26,26.29,26.29,842411
2024-07-29,25.94,25.94,275575
2024-07-30,25.92,25.92,321865
2024-07-31,26.51,26.51,627685
2024-08-01,27.1,27.1,563392
2024-08-02,26.78,26.78,732105
2024-08-05,26.95,26.95,549690
2024-08-06,26.99,26.99,1459333
2024-08-07,26.26,26.26,612683
2024-08-08,26.39,26.39,474271
2024-08-09,27.03,27.03,772965
2024-08-12,26.85,26.85,519249
2024-08-13,26.8,26.8,939618
2024-08-14,27.13,27.13,311880
2024-08-15,27.03,27.03,596883
2024-08-16,26.93,26.93,523410
2024-08-19,27.05,27.05,671231
2024-08-20,26.65,26.65,771035
2024-08-21,26.84,26.84,911558
2024-08-22,26.48,26.48,339130
2024-08-23,26.53,26.53,539048
2024-08-26,26.82,26.82,530457
2024-08-27,27.37,27.37,1873741
2024-08-28,27.17,27.17,830303
2024-08-29,27.28,27.28,854649
2024-08-30,27.39,27.39,363211
2024-09-02,26.88,26.88,1275627
2024-09-03,26.89,26.89,495369
2024-09-04,27.0,27.0,468350
2024-09-05,27.21,27.21,771259
2024-09-06,27.87,27.87,511919
2024-09-09,27.94,27.94,460471
2024-09-10,27.97,27.97,719256
2024-09-11,27.99,27.99,298012
2024-09-12,28.02,28.02,479706
2024-09-13,28.22,28.22,1124979
2024-09-18,28.77,28.77,858556
2024-09-19,28.48,28.48,1800752
2024-09-20,28.53,28.53,533601
2024-09-23,27.81,27.81,875305
2024-09-24,27.33,27.33,696763
2024-09-25,27.41,27.41,360252
2024-09-26,26.8,26.8,800958
2024-09-27,26.94,26.94,1407063
2024-09-30,27.38,27.38,1054769
2024-10-08,27.15,27.15,348569
2024-10-09,26.96,26.96,557920
2024-10-10,27.0,27.0,1662965
2024-10-11,26.88,26.88,634694
2024-10-14,26.9,26.9,729411
2024-10-15,26.72,26.72,1419515
2024-10-16,27.02,27.02,607935
2024-10-17,27.14,27.14,386964
2024-10-18,27.16,27.16,279805
2024-10-21,26.51,26.51,358670
2024-10-22,26.33,26.33,867028
2024-10-23,26.37,26.37,807274
2024-10-24,26.62,26.62,512785
2024-10-25,26.45,26.45,830231
2024-10-28,26.67,26.67,1026681
2024-10-29,26.96,26.96,575270
2024-10-30,26.81,26.81,804884
2024-10-31,27.06,27.06,830968
2024-11-01,27.04,27.04,547188
2024-11-04,26.74,26.74,696487
2024-11-05,26.76,26.76,904595
2024-11-06,27.19,27.19,1556386
2024-11-07,27.35,27.35,673659
2024-11-08,27.39,27.39,532494
2024-11-11,27.68,27.68,330982
2024-11-12,27.94,27.94,680679
2024-11-13,28.04,28.04,1080676
2024-11-14,27.5,27.5,347833
2024-11-15,26.76,26.76,856028
2024-11-18,26.31,26.31,1226138
2024-11-19,26.83,26.83,489886
2024-11-20,27.07,27.07,828666
2024-11-21,26.62,26.62,536568
2024-11-22,26.88,26.88,1171269
2024-11-25,26.48,26.48,467387
2024-11-26,26.56,26.56,416483
2024-11-27,26.85,26.85,400668
2024-11-28,26.83,26.83,641805
2024-11-29,27.09,27.09,943755
2024-12-02,27.37,27.37,580262
2024-12-03,26.87,26.87,1327804
2024-12-04,26.85,26.85,690516
2024-12-05,27.0,27.0,864720
2024-12-06,26.85,26.85,1104394
2024-12-09,26.45,26.45,416653
2024-12-10,26.89,26.89,500537
2024-12-11,26.96,26.96,784128
2024-12-12,26.79,26.79,1650567
2024-12-13,26.52,26.52,748889
2024-12-16,26.5,26.5,1564931
2024-12-17,26.85,26.85,606058
2024-12-18,26.7,26.7,1927274
2024-12-19,26.85,26.85,1296647
2024-12-20,26.94,26.94,439263
2024-12-23,26.88,26.88,1008798
2024-12-24,26.88,26.88,1685037
2024-12-25,26.91,26.91,282502
2024-12-26,26.63,26.63,868241
2024-12-27,26.22,26.22,711296
2024-12-30,26.43,26.43,676131
2024-12-31,26.86,26.86,559575
2025-01-02,27.04,27.04,663482
2025-01-03,26.8,26.8,901656
2025-01-06,26.82,26.82,510586
2025-01-07,26.68,26.68,1381377
2025-01-08,26.28,26.28,699924
2025-01-09,26.01,26.01,436306
2025-01-10,25.86,25.86,368927
2025-01-13,26.02,26.02,517877
2025-01-14,25.72,25.72,665827
2025-01-15,26.06,26.06,514507
2025-01-16,26.08,26.08,497253
2025-01-17,26.44,26.44,615731
2025-01-20,26.75,26.75,597933
2025-01-21,26.83,26.83,337792
2025-01-22,26.88,26.88,881356
2025-01-23,27.0,27.0,1211089
2025-01-24,27.11,27.11,813525
2025-01-27,27.35,27.35,1668467
2025-02-05,27.94,27.94,189031
2025-02-06,28.16,28.16,427519
2025-02-07,28.69,28.69,1533403
2025-02-10,29.02,29.02,350543
2025-02-11,28.94,28.94,1243644
2025-02-12,29.14,29.14,727755
2025-02-13,29.38,29.38,723881
2025-02-14,29.7,29.7,1106760
2025-02-17,29.62,29.62,911124
2025-02-18,30.01,30.01,767558
2025-02-19,29.85,29.85,548616
2025-02-20,29.83,29.83,666060
2025-02-21,30.08,30.08,764156
2025-02-24,30.17,30.17,354885
2025-02-25,29.92,29.92,464876
2025-02-26,29.53,29.53,784948
2025-02-27,29.4,29.4,630249
2025-02-28,29.21,29.21,785733
2025-03-03,29.93,29.93,1083005
2025-03-04,29.62,29.62,568691
2025-03-05,29.2,29.2,669367
2025-03-06,29.94,29.94,614960
2025-03-07,29.43,29.43,818727
2025-03-10,29.27,29.27,535215
2025-03-11,29.46,29.46,728477
2025-03-12,29.49,29.49,765814
2025-03-13,29.63,29.63,661420
2025-03-14,30.16,30.16,520671
2025-03-17,30.98,30.98,560667
2025-03-18,31.09,31.09,325971
2025-03-19,31.24,31.24,645124
2025-03-20,31.17,31.17,472557
2025-03-21,31.02,31.02,785740
2025-03-24,30.9,30.9,546760
2025-03-25,30.99,30.99,560093
2025-03-26,30.85,30.85,569498
2025-03-27,30.97,30.97,1123103
2025-03-28,30.83,30.83,315300
2025-03-31,30.48,30.48,306472
2025-04-01,30.38,30.38,407364
2025-04-02,30.3,30.3,560770
2025-04-03,30.14,30.14,480193
2025-04-07,30.0,30.0,769645
2025-04-08,30.18,30.18,328478
2025-04-09,29.76,29.76,1108440
2025-04-10,30.06,30.06,904184
2025-04-11,29.86,29.86,825916
2025-04-14,29.82,29.82,865138
2025-04-15,30.23,30.23,1039397
2025-04-16,30.54,30.54,631810
2025-04-17,29.94,29.94,846511
2025-04-18,30.05,30.05,1126758
2025-04-21,30.5,30.5,619922
2025-04-22,30.19,30.19,751675
2025-04-23,30.04,30.04,528215
2025-04-24,30.49,30.49,872314
2025-04-25,30.07,30.07,850349
