caliber,definition,target_cny,price,mode,existing_lowrisk_cny,need_net_cny,shares_sold,fee_cny,net_cash_cny,retained_shares,retain_ge_12000,note
P1_gross_invested,历次买入成交额+买入佣金过户费,288975.12,21.55,sales_only,0,288975.12,13500,657.49,290267.51,10500,N,卖出后持股低于软偏好12000
P1_gross_invested,历次买入成交额+买入佣金过户费,288975.12,21.55,incl_existing_lowrisk,192500,96475.12,4500,219.16,96755.84,19500,Y,
P1_gross_invested,历次买入成交额+买入佣金过户费,288975.12,20.80,sales_only,0,288975.12,14000,658.11,290541.89,10000,N,卖出后持股低于软偏好12000
P1_gross_invested,历次买入成交额+买入佣金过户费,288975.12,20.80,incl_existing_lowrisk,192500,96475.12,4700,220.94,97539.06,19300,Y,
P2_net_after_div,P1-已实际收到现金分红1000,287975.12,21.55,sales_only,0,287975.12,13400,652.62,288117.38,10600,N,卖出后持股低于软偏好12000
P2_net_after_div,P1-已实际收到现金分红1000,287975.12,21.55,incl_existing_lowrisk,192500,95475.12,4500,219.16,96755.84,19500,Y,
P2_net_after_div,P1-已实际收到现金分红1000,287975.12,20.80,sales_only,0,287975.12,13900,653.41,288466.59,10100,N,卖出后持股低于软偏好12000
P2_net_after_div,P1-已实际收到现金分红1000,287975.12,20.80,incl_existing_lowrisk,192500,95475.12,4700,220.94,97539.06,19300,Y,
P3_rebuilt_cost,公司行动调整后仍对应持仓的成本基础,288975.12,21.55,sales_only,0,288975.12,13500,657.49,290267.51,10500,N,卖出后持股低于软偏好12000
P3_rebuilt_cost,公司行动调整后仍对应持仓的成本基础,288975.12,21.55,incl_existing_lowrisk,192500,96475.12,4500,219.16,96755.84,19500,Y,
P3_rebuilt_cost,公司行动调整后仍对应持仓的成本基础,288975.12,20.80,sales_only,0,288975.12,14000,658.11,290541.89,10000,N,卖出后持股低于软偏好12000
P3_rebuilt_cost,公司行动调整后仍对应持仓的成本基础,288975.12,20.80,incl_existing_lowrisk,192500,96475.12,4700,220.94,97539.06,19300,Y,
