指标,分母=券商statement(1038800),分母=明细重算NAV(1040035.82),阈值,判定(明细口径),来源/备注
证券A权重,0.38814,0.387679,<=0.27,FAIL,38.77%>>27%
证券B权重,0.09458,0.094468,-,PASS,9.45%
证券C权重,0.117058,0.116919,-,PASS,11.69%;停牌价格陈旧
证券D权重,0.129958,0.129803,-,FAIL(单票未超),12.98%;跌停零买盘
宽基ETF权重,0.198306,0.19807,-,PASS,19.81%
前两大持仓权重(ETF+A),0.586446,0.585749,-,-,58.58%
股票+ETF仓位,0.928042,0.926939,<=0.75,FAIL,92.70%>>75%
高波动A+D权重,0.518098,0.517482,<=0.30,FAIL,51.75%>>30%
电子A+D权重,0.518098,0.517482,<=0.32,FAIL,51.75%>>32%
现金权重(含未结算),0.073161,0.073061,-,-,7.31%
组合年化波动率,-,0.3078,-,-,"60日,相关矩阵校验通过(5x5对称,对角线=1)"
风险贡献A,-,0.582,<=0.55,FAIL,A单票风险贡献58.20%>55%
风险贡献B,-,0.0158,-,-,1.58%
风险贡献C,-,0.0602,-,-,6.02%
风险贡献D,-,0.2271,-,-,22.71%
风险贡献ETF,-,0.1149,-,-,11.49%
风险贡献合计,-,1.0,=1.00,PASS,分解型占比加总=100.00%
压力STRESS-01损失率,-,-0.1322,,FAIL,-13.22%(损失-137541.50)
压力STRESS-02损失率,-,-0.1197,,FAIL,-11.97%(损失-124472.50)
最不利压力损失率,-,-0.1322,>=-0.09,FAIL,取STRESS-01;-13.22%<-9%
勾稽残差(明细-券商),-,1235.82,-,未决,"明细NAV1,040,035.82-券商1,038,800=+1,235.82;不虚构其他资产抹平"
